"","sector","rank","rank_change","profit.margin","num..of.employees","ceo_founder","ceo_woman","age","BS","MBA"
"161","Financials",0.27027027027027,0.698630136986301,0.698406426822208,0.00893157068641137,0,0,0.521739130434783,0,0
"162","Financials",0.272272272272272,0.73972602739726,0.585815136412769,0.00393145477463341,0,0,0.449275362318841,0,0
"163","Health Care",0.273273273273273,0.650684931506849,0.534261608513007,0.0295229571230969,0,0,0.521739130434783,1,0
"164","Energy",0.275275275275275,0.63013698630137,0.566488475584678,0.00511102757382103,0,0,0.521739130434783,0,0
"165","Health Care",0.28028028028028,0.678082191780822,0.534480288042942,0.0359094688104133,0,0,0.376811594202899,0,0
"166","Health Care",0.281281281281281,0.650684931506849,0.545613571882776,0.0227046172433997,0,0,0.521739130434783,0,0
"167","Technology",0.284284284284284,0.821917808219178,0.664568645920378,0.0102652379668801,0,0,0.521739130434783,0,1
"168","Retailing",0.285285285285285,0.551369863013699,0.469891687275791,0.0408868569225923,0,0,0.521739130434783,0,0
"169","Technology",0.288288288288288,0.712328767123288,0.526714777489285,0.0154317213717227,0,0,0.623188405797101,0,0
"170","Health Care",0.289289289289289,0.688356164383562,0.497738646303361,0.0304320691070566,0,0,0.521739130434783,0,0
"171","Technology",0.291291291291291,0.554794520547945,0.659088468045555,0.00623832643393097,1,0,0.521739130434783,0,0
"172","Energy",0.292292292292292,0.61986301369863,0.563172021525182,0.0061746885950538,0,0,0.521739130434783,0,0
"173","Energy",0.293293293293293,0.530821917808219,0.542880972362257,0.00557512924163242,0,0,0.521739130434783,0,0
"174","Technology",0.294294294294294,0.636986301369863,0.597808109315712,0.00602241233774056,0,0,0.521739130434783,0,1
"175","Health Care",0.295295295295295,0.715753424657534,0.781843980340453,0.0163408333556823,0,0,0.521739130434783,0,0
"176","Retailing",0.296296296296296,0.595890410958904,0.49238377975664,0.0181590573236016,0,0,0.869565217391304,0,0
"177","Financials",0.299299299299299,0.76027397260274,0.503642974263762,0.00273688162771046,0,0,0.521739130434783,0,0
"178","Retailing",0.3003003003003,0.688356164383562,0.495413607009638,0.0042041883698213,0,0,0.521739130434783,0,0
"179","Health Care",0.303303303303303,0.424657534246575,0.531638609865623,0.0086133814920255,0,0,0.521739130434783,0,0
"180","Energy",0.309309309309309,0.589041095890411,0.506190401738492,0.00361326558024754,0,0,0.521739130434783,0,0
"181","Energy",0.312312312312312,0.441780821917808,0.57107348737885,0.00128684801329485,0,0,0.521739130434783,0,0
"182","Retailing",0.313313313313313,0.688356164383562,0.578674288123827,0.0307334397297392,0,0,0.521739130434783,0,0
"183","Financials",0.314314314314314,0.852739726027397,0.511724523506502,0.00629514593292844,0,0,0.521739130434783,0,0
"184","Energy",0.316316316316316,0.657534246575342,0.599599938593946,0.00588240909221077,0,0,0.304347826086957,1,1
"185","Energy",0.318318318318318,0.674657534246575,0.53774340905124,0.00100229596231549,0,0,0.521739130434783,1,0
"186","Financials",0.319319319319319,0.849315068493151,0.577387935366342,0.00276824599115707,0,0,0.521739130434783,0,0
"187","Energy",0.323323323323323,0.523972602739726,0.789800943240828,0.00205732041970064,0,0,0.521739130434783,0,0
"188","Financials",0.324324324324324,0.839041095890411,0.659424519517195,0.00900839064905595,0,0,0.521739130434783,0,0
"189","Retailing",0.325325325325325,0.654109589041096,0.482096495801516,0.017249945339642,0,0,0.434782608695652,0,0
"190","Energy",0.327327327327327,0.948630136986301,0.680634302197302,0.00752244711127394,0,0,0.521739130434783,0,0
"191","Energy",0.328328328328328,0.821917808219178,0.531088924087185,0.000672288312138145,0,0,1,1,0
"192","Retailing",0.329329329329329,0.623287671232877,0.519977998333913,0.0240682852193392,0,0,0.521739130434783,0,0
"193","Technology",0.33033033033033,0.486301369863014,0.639440314738115,0.00484056675859304,0,0,0.521739130434783,0,0
"194","Health Care",0.331331331331331,0.585616438356164,0.48173494603337,0.00697697992089817,0,0,0.521739130434783,0,0
"195","Financials",0.332332332332332,0.636986301369863,0.364049252319749,0.00456783316340515,0,0,0.521739130434783,0,0
"196","Financials",0.334334334334334,1,0.613063913501109,0.00843155909523357,0,0,0.521739130434783,0,0
"197","Financials",0.335335335335335,0.705479452054795,0.563536188696415,0.0222500612514199,0,1,0.521739130434783,0,1
"198","Energy",0.34034034034034,0.60958904109589,0.540989663774774,0.00103275121377814,0,0,0.521739130434783,0,0
"199","Energy",0.341341341341341,0.517123287671233,0.508666975542122,0.0016618567066782,0,0,0.449275362318841,0,0
"200","Retailing",0.344344344344344,0.613013698630137,0.508344081812887,0.0116134510390923,0,0,0.521739130434783,0,0
"201","Technology",0.346346346346346,0.537671232876712,0.586040701668964,0.012249829427864,0,0,0.521739130434783,0,0
"202","Retailing",0.347347347347347,0.972602739726027,0.413233829225042,0.00769745116818617,1,0,0.521739130434783,0,0
"203","Financials",0.348348348348348,0.636986301369863,0.634601044645806,0.000605923137309092,0,0,0.797101449275362,0,1
"204","Financials",0.35035035035035,0.931506849315068,0.550194272238229,0.0048796585739033,0,0,0.608695652173913,0,0
"205","Financials",0.351351351351351,0,0.403620323822114,0.0127193857675792,0,0,0.521739130434783,0,0
