CEO,name,company,rank,sector,newcomer,ceo_founder,ceo_woman,birth_year,age
Clay C. Williams,Clay Williams,NOV,374,Energy,no,no,no,1962,58
Raymond R. Quirk,Raymond Quirk,Fidelity National Financial,375,Financials,no,no,no,,
Timothy G. NeCastro,Timothy NeCastro,Erie Insurance Group,376,Financials,no,no,no,,
Wilson R. Jones,Wilson Jones,Oshkosh,377,Industrials,no,no,no,1997,23
Darren M. Rebelez,Darren Rebelez,Casey&#8217;s General Stores,378,Retailing,no,no,no,,
John J. Engel,John Engel,WESCO International,379,Wholesalers,no,no,no,,
Harry A. Lawton III,Harry Lawton III,Tractor Supply,380,Retailing,no,no,no,,
Charles L. Treadway,Charles Treadway,CommScope Holding,381,Technology,yes,no,no,,
Peter R. Huntsman,Peter Huntsman,Huntsman,382,Chemicals,no,no,no,,
Carl H. Lindner lll,Carl Lindner lll,American Financial Group,383,Financials,no,no,no,,
Keith J. Allman,Keith Allman,Masco,384,Household Products,no,no,no,,
Jure Sola,Jure Sola,Sanmina,385,Technology,no,no,no,,
R. Adam Norwitt,R. Adam Norwitt,Amphenol,386,Technology,no,no,no,,
Alan S. Armstrong,Alan Armstrong,Williams,387,Energy,no,no,no,1946,74
Rafael O. Santana,Rafael Santana,Westinghouse Air Brake,388,Industrials,yes,no,no,1991,29
Jeffrey S. Musser,Jeffrey Musser,Expeditors Intl. of Washington,389,Transportation,no,no,no,,
Patrick E. Bowe,Patrick Bowe,Andersons,390,"Food, Beverages & Tobacco",yes,no,no,,
Albert Yuan Chao,Albert Yuan Chao,Westlake Chemical,391,Chemicals,no,no,no,1947,73
William A. Newlands,William Newlands,Constellation Brands,392,"Food, Beverages & Tobacco",no,no,no,,
Nicholas Jeffery,Nicholas Jeffery,Frontier Communications,393,Telecommunications,no,no,no,,
Robin Hayes,Robin Hayes,JetBlue Airways,394,Transportation,no,no,no,1945,75
Bruce W. Van Saun,Bruce Van Saun,Citizens Financial Group,395,Financials,no,no,no,,
Paul C. Reilly,Paul Reilly,Raymond James Financial,396,Financials,no,no,no,1965,55
Richard A. Johnson,Richard Johnson,Foot Locker,397,Retailing,no,no,no,,
Michele G. Buck,Michele Buck,Hershey,398,"Food, Beverages & Tobacco",no,no,yes,,
Bryan C. Hanson,Bryan Hanson,Zimmer Biomet Holdings,399,Health Care,no,no,no,,
Steven J. Johnston,Steven Johnston,Cincinnati Financial,400,Financials,yes,no,no,,
John F. Barrett,John Barrett,Western & Southern Financial Group,401,Financials,no,no,no,1949,71
W. Robert Berkley Jr.,W. Robert Berkley Jr.,W.R. Berkley,402,Financials,no,no,no,,
Gregory Q. Brown,Gregory Brown,Motorola Solutions,403,Technology,no,no,no,1960,60
Robert W. Martin,Robert Martin,Thor Industries,404,Motor Vehicles & Parts,no,no,no,,
Leonard Schleifer,Leonard Schleifer,Regeneron Pharmaceuticals,405,Health Care,no,yes,no,1953,67
Thomas C. Gentile III,Thomas Gentile III,Spirit AeroSystems Holdings,406,Aerospace & Defense,no,no,no,,
Mark T. Smucker,Mark Smucker,J.M. Smucker,407,"Food, Beverages & Tobacco",no,no,no,1969,51
Vincent Sorgi,Vincent Sorgi,PPL,408,Energy,no,no,no,,
Kenneth T. Lamneck,Kenneth Lamneck,Insight Enterprises,409,Technology,no,no,no,,
Stephen H. Rusckowski,Stephen Rusckowski,Quest Diagnostics,410,Health Care,no,no,no,,
Christopher Gorman,Christopher Gorman,KeyCorp,411,Financials,no,no,no,,
Salvatore A. Abbate,Salvatore Abbate,Veritiv,412,Wholesalers,no,no,no,,
Wouter T. van Kempen,Wouter van Kempen,DCP Midstream,413,Energy,no,no,no,,
Thomas A. Bartlett,Thomas Bartlett,American Tower,414,Financials,no,no,no,1979,41
Kathleen M. Mazzarella,Kathleen Mazzarella,Graybar Electric,415,Wholesalers,no,no,yes,,
J. Kevin Fletcher,J. Kevin Fletcher,WEC Energy Group,416,Energy,no,no,no,1975,45
Paul C. Saville,Paul Saville,NVR,417,Engineering & Construction,no,no,no,1956,64
Mary N. Dillon,Mary Dillon,Ulta Beauty,418,Retailing,no,no,yes,,
David A. Hager,David Hager,Devon Energy,419,Energy,no,no,no,,
Stephen A. Schwarzman,Stephen Schwarzman,Blackstone Group,420,Financials,no,yes,no,1947,73
Gary W. Rahlfs,Gary Rahlfs,Dean Foods,421,"Food, Beverages & Tobacco",no,no,no,,
James A. Lico,James Lico,Fortive,422,Industrials,no,no,no,,
John L. Walsh,John Walsh,UGI,423,Energy,no,no,no,1945,75
,,Burlington Stores,424,Retailing,no,no,no,,
M. Chad Crow,M. Chad Crow,Builders FirstSource,425,Materials,no,no,no,,
Douglas C. Yearley Jr.,Douglas Yearley Jr.,Toll Brothers,426,Engineering & Construction,no,no,no,,
Craig R. Smiddy,Craig Smiddy,Old Republic International,427,Financials,no,no,no,,
David W. Hult,David Hult,Asbury Automotive Group,428,Retailing,no,no,no,,
J. Patrick Gallagher Jr.,J. Patrick Gallagher Jr.,Arthur J. Gallagher,429,Financials,no,no,no,,
José R. Mas,José Mas,MasTec,430,Engineering & Construction,no,no,no,,
Brian D. Chambers,Brian Chambers,Owens Corning,431,Materials,no,no,no,,
Kenneth J. Fasola,Kenneth Fasola,Magellan Health,432,Health Care,no,no,no,,
Richard J. Tobin,Richard Tobin,Dover,433,Industrials,no,no,no,,
Julian G. Francis,Julian Francis,Beacon Roofing Supply,434,Wholesalers,no,no,no,,
Mitchell R. Butier,Mitchell Butier,Avery Dennison,435,Materials,no,no,no,,
Stephen B. Bratspies,Stephen Bratspies,Hanesbrands,436,Apparel,no,no,no,,
Mark W. Kowlzan,Mark Kowlzan,Packaging Corp. of America,437,Materials,no,no,no,,
René F. Jones,René Jones,M&T Bank,438,Financials,no,no,no,,
Michael D. Hayford,Michael Hayford,NCR,439,Technology,no,no,no,,
Michael G. O&#039;Grady,Michael O&#039;Grady,Northern Trust,440,Financials,no,no,no,1963,57
Scott D. Farmer,Scott Farmer,Cintas,441,Business Services,no,no,no,,
Michael T. Speetzen,Michael Speetzen,Polaris,442,Transportation,no,no,no,,
Patricia K. Poppe,Patricia Poppe,CMS Energy,443,Energy,no,no,yes,1969,51
Robert L. Steer,Robert Steer,Seaboard,444,"Food, Beverages & Tobacco",no,no,no,,
Sasan K. Goodarzi,Sasan Goodarzi,Intuit,445,Technology,no,no,no,,
John M. Turner Jr.,John Turner Jr.,Regions Financial,446,Financials,no,no,no,,
Thomas A. Lawson,Thomas Lawson,FM Global,447,Financials,yes,no,no,,
Lisa T. Su,Lisa Su,Advanced Micro Devices (AMD),448,Technology,no,no,yes,1969,51
Douglas J. Suttles,Douglas Suttles,Ovintiv,449,Energy,yes,no,no,1944,76
Horacio D. Rozanski,Horacio Rozanski,Booz Allen Hamilton Holding,450,Technology,no,no,no,1968,52
Douglas L. Peterson,Douglas Peterson,S&P Global,451,Business Services,no,no,no,,
Blake D. Moret,Blake Moret,Rockwell Automation,452,Industrials,no,no,no,,
Andres A. Lopez,Andres Lopez,O-I Glass,453,Materials,no,no,no,,
Matthew O. Maddox,Matthew Maddox,Wynn Resorts,454,"Hotels, Restaurants & Leisure",no,no,no,1971,49
Christopher M. Hilger,Christopher Hilger,Securian Financial Group,455,Financials,yes,no,no,,
Ralph J. Andretta,Ralph Andretta,Alliance Data Systems,456,Business Services,no,no,no,1988,32
Devin W. Stockfish,Devin Stockfish,Weyerhaeuser,457,Materials,no,no,no,,
Eric T. Steigerwalt,Eric Steigerwalt,Brighthouse Financial,457,Financials,no,no,no,,
Jeffrey Sprecher,Jeffrey Sprecher,Intercontinental Exchange,459,Financials,no,yes,no,1955,65
David C. Dauch,David Dauch,American Axle & Manufacturing,460,Motor Vehicles & Parts,no,no,no,,
John B. Hess,John Hess,Hess,461,Energy,no,no,no,1954,66
Scott B. Salmirs,Scott Salmirs,ABM Industries,462,Business Services,no,no,no,,
Robert A. Kotick,Robert Kotick,Activision Blizzard,463,Media,no,no,no,1963,57
George E. Sherman,George Sherman,GameStop,464,Retailing,no,no,no,1991,29
John J. Christmann IV,John Christmann IV,APA,465,Energy,no,no,no,,
Nazzic S. Keene,Nazzic Keene,Science Applications International,466,Technology,yes,no,yes,,
Lourenco C. Goncalves,Lourenco Goncalves,AK Steel Holding,467,Materials,no,no,no,,
William T. Dillard II,William Dillard II,Dillard&#8217;s,468,Retailing,no,no,no,1945,75
Patrice Louvet,Patrice Louvet,Ralph Lauren,469,Apparel,no,no,no,1964,56
Lori J. Ryerkerk,Lori Ryerkerk,Celanese,470,Chemicals,no,no,yes,,
Daniel L. Knotts,Daniel Knotts,R.R. Donnelley & Sons,471,Media,no,no,no,,
Kristin C. Peck,Kristin Peck,Zoetis,472,Health Care,no,no,yes,1968,52
Carrie W. Teffner,Carrie Teffner,Ascena Retail Group,473,Retailing,no,no,yes,,
Linda Rendle,Linda Rendle,Clorox,474,Household Products,no,no,yes,,
James P. Zallie,James Zallie,Ingredion,475,"Food, Beverages & Tobacco",no,no,no,,
Dennis J. Gilmore,Dennis Gilmore,First American Financial,476,Financials,no,no,no,,
Michael P. Doss,Michael Doss,Graphic Packaging Holding,477,Materials,no,no,no,,
George Kurian,George Kurian,NetApp,478,Technology,no,no,no,,
Joseph J. DeAngelo,Joseph DeAngelo,HD Supply Holdings,478,Wholesalers,no,no,no,1945,75
Jonathan M. Pertchik,Jonathan Pertchik,TravelCenters of America,480,Retailing,no,no,no,,
Scott M. Sutton,Scott Sutton,Olin,481,Chemicals,no,no,no,1970,50
M. Keith Waddell,M. Keith Waddell,Robert Half International,482,Business Services,no,no,no,,
Barry E. Davis,Barry Davis,EnLink Midstream,483,Energy,no,no,no,1943,77
Michael Stubblefield,Michael Stubblefield,Avantor,484,Technology,yes,no,no,,
Joanne Crevoiserat,Joanne Crevoiserat,Tapestry,485,Apparel,no,no,yes,,
Stephen J. Boyle,Stephen Boyle,TD Ameritrade Holding,486,Financials,yes,no,no,1980,40
Vincent T. Roche,Vincent Roche,Analog Devices,487,Technology,no,no,no,1966,54
Warner L. Baxter,Warner Baxter,Ameren,488,Energy,no,no,no,1951,69
Laura J. Alber,Laura Alber,Williams-Sonoma,489,Retailing,no,no,yes,1968,52
Ryan M. Schneider,Ryan Schneider,Realogy Holdings,490,Financials,no,no,no,1992,28
Barbara R. Smith,Barbara Smith,Commercial Metals,491,Materials,yes,no,yes,1931,89
W. M. Rush,W. Rush,Rush Enterprises,492,Retailing,yes,no,no,,
Jennifer M. Johnson,Jennifer Johnson,Franklin Resources,493,Financials,no,no,yes,,
Nicholas I. Fink,Nicholas Fink,Fortune Brands Home & Security,494,Household Products,yes,no,no,,
Charles V. Bergh,Charles Bergh,Levi Strauss,495,Apparel,no,no,no,,
Jay A. Brown,Jay Brown,Crown Castle International,496,Financials,yes,no,no,,
David E. Simon,David Simon,Simon Property Group,497,Financials,no,no,no,1962,58
D. Brent Shafer,D. Brent Shafer,Cerner,498,Health Care,yes,no,no,,
Robert V. Vitale,Robert Vitale,Post Holdings,499,"Food, Beverages & Tobacco",no,no,no,1947,73
Stephen D. Steinour,Stephen Steinour,Huntington Bancshares,500,Financials,yes,no,no,,
Stuart Bradie,Stuart Bradie,KBR,501,Engineering & Construction,,no,no,1966,54
Jack L. Sinclair,Jack Sinclair,Sprouts Farmers Market,502,Food & Drug Stores,,no,no,1978,42
Dan H. Arnold,Dan Arnold,LPL Financial Holdings,503,Financials,,no,no,1947,73
William J. Stromberg,William Stromberg,T. Rowe Price,504,Financials,,no,no,,
David W. Gibbs,David Gibbs,Yum Brands,505,"Hotels, Restaurants & Leisure",,no,no,1903,117
Brian R. Niccol,Brian Niccol,Chipotle Mexican Grill,506,"Hotels, Restaurants & Leisure",,no,no,,
Mark S. Walchirk,Mark Walchirk,Patterson,507,Health Care,,no,no,,
Frank C. Sullivan,Frank Sullivan,RPM International,508,Chemicals,,no,no,,
Charles J. Meyers,Charles Meyers,Equinix,509,Financials,,no,no,1972,48
John F. Remondi,John Remondi,Navient,510,Financials,,no,no,,
Mark P. Vergnano,Mark Vergnano,Chemours,511,Chemicals,,no,no,,
Hassane El-Khoury,Hassane El-Khoury,ON Semiconductor,512,Technology,,no,no,,
Kevin M. Stein,Kevin Stein,TransDigm Group,513,Aerospace & Defense,,no,no,,
James F. Risoleo,James Risoleo,Host Hotels & Resorts,514,Financials,,no,no,,
David S. Chernow,David Chernow,Select Medical Holdings,515,Health Care,,no,no,1949,71
William C. Pate,William Pate,Par Pacific Holdings,516,Energy,,no,no,,
R. Howard Coker,R. Howard Coker,Sonoco Products,517,Materials,,no,no,,
L. Neil Hunn,L. Neil Hunn,Roper Technologies,518,Technology,,no,no,,
Jochen Zeitz,Jochen Zeitz,Harley-Davidson,519,Transportation,,no,no,1963,57
Richard B. Handler,Richard Handler,Jefferies Financial Group,520,Financials,,no,no,1961,59
Peter W. Quigley,Peter Quigley,Kelly Services,521,Business Services,,no,no,,
Ganesh Moorthy,Ganesh Moorthy,Microchip Technology,522,Technology,,no,no,,
Lawrence E. Kurzius,Lawrence Kurzius,McCormick,523,"Food, Beverages & Tobacco",,no,no,1932,88
David L. Goodin,David Goodin,MDU Resources Group,524,Energy,,no,no,,
Daniel L. Florness,Daniel Florness,Fastenal,525,Wholesalers,,no,no,,
Bruce K. Thorn,Bruce Thorn,Big Lots,526,Retailing,,no,no,,
Jay A. Snowden,Jay Snowden,Penn National Gaming,527,"Hotels, Restaurants & Leisure",,no,no,,
Hikmet Ersek,Hikmet Ersek,Western Union,528,Business Services,,no,no,1961,59
Patrik Frisk,Patrik Frisk,Under Armour,529,Apparel,,no,no,1963,57
Patrick K. Decker,Patrick Decker,Xylem,530,Industrials,,no,no,,
Robert Greenberg,Robert Greenberg,Skechers U.S.A.,531,Apparel,,yes,no,1954,66
John D. Williams,John Williams,Domtar,532,Materials,,no,no,1932,88
Joseph J. Hamrock,Joseph Hamrock,NiSource,533,Energy,,no,no,,
Lee M. Tillman,Lee Tillman,Marathon Oil,534,Energy,,no,no,,
Barry Karfunkel,Barry Karfunkel,National General Holdings,535,Financials,,no,no,,
LeRoy T. Carlson Jr.,LeRoy Carlson Jr.,Telephone & Data Systems,536,Telecommunications,,no,no,,
Michael R. McMullen,Michael McMullen,Agilent Technologies,537,Technology,,no,no,,
David A. Zapico,David Zapico,Ametek,538,Technology,,no,no,,
David A. Campbell,David Campbell,Evergy,539,Energy,,no,no,1973,47
Andreas Fibig,Andreas Fibig,International Flavors & Fragrances,540,Chemicals,,no,no,,
James D. DeVries,James DeVries,ADT,541,Business Services,,no,no,,
Shankh Mitra,Shankh Mitra,Welltower,542,Financials,,no,no,,
Anthony W. Thomas,Anthony Thomas,Windstream Holdings,543,Telecommunications,,no,no,,
Ashley Buchanan,Ashley Buchanan,Michaels,544,Retailing,,no,no,1974,46
Joseph Lacher Jr.,Joseph Lacher Jr.,Kemper,545,Financials,,no,no,,
Mark S. Hoplamazian,Mark Hoplamazian,Hyatt Hotels,546,"Hotels, Restaurants & Leisure",,no,no,,
Ludwig N. Hantson Ph.D.,Ludwig Hantson Ph.D.,Alexion Pharmaceuticals,547,Health Care,,no,no,,
Jay Geldmacher,Jay Geldmacher,Resideo Technologies,548,Materials,,no,no,,
John S. Mengucci,John Mengucci,CACI International,549,Technology,,no,no,,
Andrew Wilson,Andrew Wilson,Electronic Arts,550,Media,,no,no,1964,56
J. Thomas Hill,J. Thomas Hill,Vulcan Materials,551,Materials,,no,no,1959,61
Steven T. Oakland,Steven Oakland,TreeHouse Foods,552,"Food, Beverages & Tobacco",,no,no,,
Jeffrey S. Sloan,Jeffrey Sloan,Global Payments,553,Business Services,,no,no,,
John C. Roche,John Roche,Hanover Insurance Group,554,Financials,,no,no,,
Marcus A. Lemonis,Marcus Lemonis,Camping World Holdings,555,Retailing,,no,no,1973,47
James S. Metcalf,James Metcalf,Cornerstone Building Brands,556,Materials,,no,no,,
Darren D. Hawkins,Darren Hawkins,Yellow,557,Transportation,,no,no,1966,54
Terrence A. Duffy,Terrence Duffy,CME Group,558,Financials,,no,no,,
Sumit Singh,Sumit Singh,Chewy,559,Retailing,,no,no,,
David Jackson,David Jackson,Knight-Swift Transportation Holdings,560,Transportation,,no,no,,
Robert Fauber,Robert Fauber,Moody&#8217;s,561,Business Services,,no,no,,
J. Frank Harrison III,J. Frank Harrison III,Coca-Cola Consolidated,562,"Food, Beverages & Tobacco",,no,no,,
D. Christian Koch,D. Christian Koch,Carlisle,563,Materials,,no,no,,
Edward L. Doheny II,Edward Doheny II,Sealed Air,564,Materials,,no,no,,
Gregory N. Roberts,Gregory Roberts,A-Mark Precious Metals,565,Materials,,no,no,1950,70
Albert H. Nahmad,Albert Nahmad,Watsco,566,Wholesalers,,no,no,,
Sheryl D. Palmer,Sheryl Palmer,Taylor Morrison Home,567,Engineering & Construction,,no,yes,,
Joseph M. Levin,Joseph Levin,IAC/InterActiveCorp,568,Technology,,no,no,,
Karl G. Glassman,Karl Glassman,Leggett & Platt,569,Household Products,,no,no,,
Douglas H. Shulman,Douglas Shulman,OneMain Holdings,570,Financials,,no,no,1967,53
Mark B. Rourke,Mark Rourke,Schneider National,571,Transportation,,no,no,1964,56
C. Howard Nye,C. Howard Nye,Martin Marietta Materials,572,Materials,,no,no,,
Vincent Pilette,Vincent Pilette,NortonLifeLock,573,Technology,,no,no,,
Brian D. Goldner,Brian Goldner,Hasbro,574,Household Products,,no,no,1963,57
Jack Dorsey,Jack Dorsey,Square,575,Business Services,,yes,no,1976,44
John L. Garrison Jr.,John Garrison Jr.,Terex,576,Industrials,,no,no,,
Alistair Macdonald,Alistair Macdonald,Syneos Health,577,Health Care,,no,no,1999,21
Mark Douglas,Mark Douglas,FMC,578,Chemicals,,no,no,,
Nathan R. Jorgensen,Nathan Jorgensen,Boise Cascade,579,Wholesalers,,no,no,1957,63
William C. Stone,William Stone,SS&C Technologies Holdings,580,Technology,,yes,no,,
William B. Berry,William Berry,Continental Resources,581,Energy,,no,no,1971,49
Glenn L. Kellow,Glenn Kellow,Peabody Energy,582,Energy,,no,no,,
Mark J. Tarr,Mark Tarr,Encompass Health,583,Health Care,,no,no,1972,48
Peter G. Watson,Peter Watson,Greif,584,Materials,,no,no,,
Timothy A. Leach,Timothy Leach,Concho Resources,585,Energy,,no,no,,
Gerben W. Bakker,Gerben W. Bakker,Hubbell,586,Industrials,,no,no,,
W. Anthony Will,W. Anthony Will,CF Industries Holdings,587,Chemicals,,no,no,,
Richard P. Wallace,Richard Wallace,KLA,588,Technology,,no,no,,
Robert H. Fish,Robert Fish,Genesis Healthcare,589,Health Care,,no,no,,
David M. Foulkes,David Foulkes,Brunswick,590,Transportation,,no,no,1988,32
Jeffrey T. Mezger,Jeffrey Mezger,KB Home,591,Engineering & Construction,,no,no,,
Gary L. Coleman,Gary Coleman,Globe Life,592,Financials,,no,no,1960,60
Ynon Kreiz,Ynon Kreiz,Mattel,593,Household Products,,no,no,1965,55
Edward J. Lehner,Edward Lehner,Ryerson Holding,594,Materials,,no,no,1933,87
Anthony J. Allott,Anthony Allott,Silgan Holdings,595,Materials,,no,no,,
Anders Gustafsson,Anders Gustafsson,Zebra Technologies,596,Industrials,,no,no,,
Gary Guthart,Gary Guthart,Intuitive Surgical,597,Health Care,,no,no,,
Stephen F. Cooper,Stephen Cooper,Warner Music Group,598,Media,,no,no,1948,72
Clifford A. Skelton,Clifford Skelton,Conduent,599,Business Services,,no,no,,
Ronald N. Tutor,Ronald Tutor,Tutor Perini,600,Engineering & Construction,,no,no,1941,79
Rami Rahim,Rami Rahim,Juniper Networks,601,Technology,,no,no,,
David L. Stover,David Stover,Noble Energy,602,Energy,,no,no,1994,26
Robert J. Johnson,Robert Johnson,Vertiv Holdings,603,Industrials,,no,no,1938,82
Anthony Ledru,Anthony Ledru,Tiffany,604,Retailing,,no,no,,
Toby Z. Rice,Toby Rice,EQT,605,Energy,,no,no,,
Matthew J. Missad,Matthew Missad,UFP Industries,606,Materials,,no,no,,
Gerrard B. Schmid,Gerrard Schmid,Diebold Nixdorf,607,Technology,,no,no,,
Paul M. Rady,Paul Rady,Antero Resources,608,Energy,,yes,no,,
Chris Villavarayan,Chris Villavarayan,Meritor,609,Motor Vehicles & Parts,,no,no,,
Timothy C. Gokey,Timothy Gokey,Broadridge Financial Solutions,610,Business Services,,no,no,,
Matthew T. Farrell,Matthew Farrell,Church & Dwight,611,Household Products,,no,no,,
Stephen P. Weisz,Stephen Weisz,Marriott Vacations Worldwide,612,"Hotels, Restaurants & Leisure",,no,no,,
Michael A. Mussallem,Michael Mussallem,Edwards Lifesciences,613,Health Care,,no,no,,
Matthew L. Trerotola,Matthew Trerotola,Colfax,614,Industrials,,no,no,,
Paul J. Sarvadi,Paul Sarvadi,Insperity,615,Business Services,,yes,no,,
Jay L. Schottenstein,Jay Schottenstein,American Eagle Outfitters,616,Retailing,,no,no,1954,66
Ronald S. Nersesian,Ronald Nersesian,Keysight Technologies,617,Technology,,no,no,,
Gary S. Michel,Gary Michel,JELD-WEN Holding,618,Materials,,no,no,,
William L. Meaney,William Meaney,Iron Mountain,619,Business Services,,no,no,,
Adena T. Friedman,Adena Friedman,Nasdaq,620,Financials,,no,yes,1969,51
Eugene A. Hall,Eugene Hall,Gartner,621,Technology,,no,no,,
Christopher S. Ripley,Christopher Ripley,Sinclair Broadcast Group,622,Media,,no,no,,
James W. Lanning,James Lanning,Ingles Markets,623,Food & Drug Stores,,no,no,,
Rodney C. Sacks,Rodney Sacks,Monster Beverage,624,"Food, Beverages & Tobacco",,no,no,1968,52
Roger W. Jenkins,Roger Jenkins,Murphy Oil,625,Energy,,no,no,1955,65
Reshma Kewalramani,Reshma Kewalramani,Vertex Pharmaceuticals,626,Health Care,,no,no,1973,47
James H. Herbert II,James Herbert II,First Republic Bank,627,Financials,,yes,no,,
David J. Deno,David Deno,Bloomin&#8217; Brands,628,"Hotels, Restaurants & Leisure",,no,no,,
David M. Maura,David Maura,Spectrum Brands Holdings,629,Household Products,,no,no,1965,55
J. Joel Quadracci,J. Joel Quadracci,Quad/Graphics,630,Media,,no,no,,
A. Ryals McMullian,A. Ryals McMullian,Flowers Foods,631,"Food, Beverages & Tobacco",,no,no,,
Robert N. Trunzo,Robert Trunzo,CUNA Mutual Group,632,Financials,,no,no,,
Robert S. Wetherbee,Robert Wetherbee,Allegheny Technologies,633,Materials,,no,no,1936,84
Greg C. Gantt,Greg Gantt,Old Dominion Freight Line,634,Transportation,,no,no,,
James B. Gattoni,James Gattoni,Landstar System,635,Transportation,,no,no,,
James E. Pozzi,James Pozzi,American National Group,636,Financials,,no,no,1960,60
Nicholas T. Pinchuk,Nicholas Pinchuk,Snap-on,637,Industrials,,no,no,,
Lucinda M. Baier,Lucinda Baier,Brookdale Senior Living,638,Health Care,,no,yes,,
Geil Rutten,Geil Rutten,Amkor Technology,639,Technology,,no,no,,
Michael D. Brown,Michael Brown,Wyndham Destinations,640,"Hotels, Restaurants & Leisure",,no,no,1954,66
David S. Simmons,David Simmons,PPD,641,Health Care,,no,no,1996,24
Donald M. Casey Jr.,Donald Casey Jr.,Dentsply Sirona,642,Health Care,,no,no,,
Gary C. Bhojwani,Gary Bhojwani,CNO Financial Group,643,Financials,,no,no,,
Richard A. Hayne,Richard Hayne,Urban Outfitters,644,Retailing,,yes,no,1947,73
Sean E. Menke,Sean Menke,Sabre,645,Technology,,no,no,,
Gabriel Tirador,Gabriel Tirador,Mercury General,646,Financials,,no,no,,
Travis D. Stice,Travis Stice,Diamondback Energy,647,Energy,,no,no,,
Charles L. Harrington,Charles Harrington,Parsons,648,Aerospace & Defense,,no,no,,
John W. Robinson III,John Robinson III,Aaron's,649,Retailing,,no,no,,
R. Scott Rowe,R. Scott Rowe,Flowserve,650,Industrials,,no,no,,
Ernest C. Garcia,Ernest Garcia,Carvana,651,Retailing,,yes,no,1983,37
Theodore S. Hanson,Theodore Hanson,ASGN,652,Business Services,,no,no,,
Christian A. Brickman,Christian Brickman,Sally Beauty Holdings,653,Retailing,,no,no,,
Michael L. Baur,Michael Baur,ScanSource,654,Wholesalers,,yes,no,,
Debra A. Cafaro,Debra Cafaro,Ventas,655,Financials,,no,yes,,
Jim Jacobs,Jim Jacobs,Country Financial,656,Financials,,no,no,1942,78
Burton M. Goldfield,Burton Goldfield,TriNet Group,657,Business Services,,no,no,,
Edward M. Christie III,Edward Christie III,Spirit Airlines,658,Transportation,,no,no,1976,44
Curtis C. Farmer,Curtis Farmer,Comerica,659,Financials,,no,no,,
Todd M. Bluedorn,Todd Bluedorn,Lennox International,660,Industrials,,no,no,,
Richard G. Kyle,Richard Kyle,Timken,661,Industrials,,no,no,1984,36
Martin Mucci,Martin Mucci,Paychex,662,Business Services,,no,no,,
Edward J. Shoen,Edward Shoen,Amerco,663,Transportation,,no,no,1949,71
B. Andrew Rose,B. Andrew Rose,Worthington Industries,664,Materials,,no,no,,
Thomas P. Werner,Thomas Werner,Lamb Weston Holdings,665,"Food, Beverages & Tobacco",,no,no,1979,41
Eilif Serck-Hanssen,Eilif Serck-Hanssen,Laureate Education,666,Business Services,,no,no,,
Eileen C. McDonnell,Eileen McDonnell,Penn Mutual Life Insurance,667,Financials,,no,yes,1952,68
Robert W. Pittman,Robert Pittman,iHeartMedia,668,Media,,no,no,1953,67
Douglas A. Pertz,Douglas Pertz,Brink's,669,Business Services,,no,no,,
Peter G. McPartland,Peter McPartland,Sentry Insurance Group,670,Financials,,no,no,,
Neil M. Ashe,Neil Ashe,Acuity Brands,671,Industrials,,no,no,1993,27
David P. Yeager,David Yeager,Hub Group,672,Transportation,,no,no,,
Phillipe Lord,Phillipe Lord,Meritage Homes,673,Engineering & Construction,,no,no,,
Robert J. Saltiel Jr.,Robert Saltiel Jr.,MRC Global,674,Energy,,no,no,,
John O. Larsen,John Larsen,Alliant Energy,675,Energy,,no,no,1989,31
Aneel Bhusri,Aneel Bhusri,Workday,676,Technology,,yes,no,1966,54
David E. Flitman,David Flitman,BMC Stock Holdings,677,Wholesalers,,no,no,,
Fran Horowitz,Fran Horowitz,Abercrombie & Fitch,678,Retailing,,no,yes,,
Richard E. Allison,Richard Allison,Domino's Pizza,679,"Hotels, Restaurants & Leisure",,no,no,1958,62
Logan Green,Logan Green,Lyft,680,Technology,,yes,no,,
Thomas H. Harty,Thomas Harty,Meredith,681,Media,,no,no,1941,79
Walter J. Lynch,Walter Lynch,American Water Works,682,Energy,,no,no,,
,,Albemarle,683,Chemicals,,no,no,,
Gary B. Smith,Gary Smith,Ciena,684,Technology,,no,no,,
James Daunt,James Daunt,Barnes & Noble,685,Retailing,,no,no,1963,57
Jonathan H. Weis,Jonathan Weis,Weis Markets,686,Food & Drug Stores,,no,no,,
Francis deSouza,Francis deSouza,Illumina,687,Technology,,no,no,1970,50
Gregory Becker,Gregory Becker,SVB Financial Group,688,Financials,,no,no,,
Michael D. Casey,Michael Casey,Carter's,689,Apparel,,no,no,1941,79
Ronald J. Kruszewski,Ronald Kruszewski,Stifel Financial,690,Financials,,no,no,,
Mark S. Ordan,Mark Ordan,Mednax,691,Health Care,,yes,no,,
Mark W. Begor,Mark Begor,Equifax,692,Business Services,,no,no,1959,61
James P. Hallett,James Hallett,Kar Auction Services,693,Wholesalers,,no,no,,
Guillermo Novo,Guillermo Novo,Ashland Global Holdings,694,Chemicals,,no,no,,
Richard A. Chiricosta,Richard Chiricosta,Medical Mutual of Ohio,695,Financials,,no,no,,
David C. Glendon,David Glendon,Sprague Resources,696,Energy,,no,no,,
Charles Liang,Charles Liang,Super Micro Computer,697,Technology,,yes,no,,
Roger L. Rawlins,Roger Rawlins,Designer Brands,698,Retailing,,no,no,1952,68
Marc B. Lautenbach,Marc Lautenbach,Pitney Bowes,699,Technology,,no,no,,
