CEO,name,company,rank,sector,newcomer,ceo_founder,ceo_woman,birth_year,age
Dale Francescon,Dale Francescon,Century Communities,867,Engineering & Construction,,no,no,,
Thomas R. Reeg,Thomas Reeg,Caesars Entertainment,868,"Hotels, Restaurants & Leisure",,no,no,,
John R. Chiminski,John Chiminski,Catalent,869,Health Care,,no,no,,
Thomas L. Deitrich,Thomas Deitrich,Itron,870,Industrials,,no,no,,
Robert H. Schottenstein,Robert Schottenstein,M/I Homes,871,Engineering & Construction,,no,no,,
Edward Tilly,Edward Tilly,Cboe Global Markets,872,Financials,,no,no,,
Eric D. Ashleman,Eric Ashleman,IDEX,873,Industrials,,no,no,,
Roel Vestjens,Roel Vestjens,Belden,874,Industrials,,no,no,,
Lynn M. Bamford,Lynn Bamford,Curtiss-Wright,875,Industrials,,no,yes,1957,63
David M. Overton,David Overton,Cheesecake Factory,876,"Hotels, Restaurants & Leisure",,no,no,,
Grant E. Sims,Grant Sims,Genesis Energy,877,Energy,,no,no,,
George C. Zoley,George Zoley,GEO Group,878,Business Services,,yes,no,1950,70
William A. Hendricks Jr.,William Hendricks Jr.,Patterson-UTI Energy,879,Energy,,no,no,,
Derek J. Leathers,Derek Leathers,Werner Enterprises,880,Transportation,,no,no,,
Vicente Reynal,Vicente Reynal,Ingersoll Rand,881,Industrials,,no,no,,
Randy J. Nebel,Randy Nebel,Verso,882,Materials,,no,no,,
Gregory L. Christopher,Gregory Christopher,Mueller Industries,883,Industrials,,no,no,,
Ritch N. Wood,Ritch Wood,Nu Skin Enterprises,884,Household Products,,no,no,,
Debra G. Perelman,Debra Perelman,Revlon,885,Household Products,,no,yes,1943,77
Jayshree Ullal,Jayshree Ullal,Arista Networks,886,Technology,,no,yes,1961,59
Jonathan J. Mazelsky,Jonathan Mazelsky,IDEXX Laboratories,887,Health Care,,no,no,,
Joseph Hogan,Joseph Hogan,Align Technology,888,Health Care,,no,no,1956,64
Udit Batra,Udit Batra,Waters,889,Technology,,no,no,,
Kessel D. Stelling Jr.,Kessel Stelling Jr.,Synovus Financial,890,Financials,,no,no,,
Andrew V. Masterman,Andrew Masterman,BrightView Holdings,891,Business Services,,no,no,,
Rodney N. Rushing,Rodney Rushing,REV Group,892,Motor Vehicles & Parts,,no,no,1966,54
J. Powell Brown,J. Powell Brown,Brown & Brown,893,Financials,,no,no,,
Samuel J. Mitchell Jr.,Samuel Mitchell Jr.,Valvoline,894,Chemicals,,no,no,1963,57
Carl A. Anderson,Carl Anderson,Knights of Columbus,895,Financials,,no,no,1951,69
Timothy P. Cofer,Timothy Cofer,Central Garden & Pet,896,Household Products,,no,no,,
Tony R. Thene,Tony Thene,Carpenter Technology,897,Materials,,no,no,,
Jonathan W. Witter,Jonathan Witter,SLM,898,Financials,,no,no,,
Christopher Rossi,Christopher Rossi,Kennametal,899,Industrials,,no,no,1991,29
Jason D. Lippert,Jason Lippert,LCI Industries,900,Motor Vehicles & Parts,,no,no,,
